,name,state,year,count,committee,full_name,unique_committees_count
606,elliott,Florida,2021,1,['Committee On Oversight And Reform'],Senator Joyce Elliott,1
607,ellison,Minnesota,2013,100,['Committee On Financial Services'],Keith Ellison,1
608,ellison,Minnesota,2015,123,['Committee On Financial Services'],Keith Ellison,1
609,ellison,Minnesota,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Keith Ellison,2
610,ellmers,North Carolina,2013,186,['Committee On Energy And Commerce'],Renee L. Ellmers,1
611,ellmers,North Carolina,2015,178,['Committee On Energy And Commerce'],Renee L. Ellmers,1
612,emmer,Minnesota,2015,205,"['Committee On Agriculture', 'Committee On Financial Services', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On Agriculture', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Tom Emmer,9
613,emmer,Minnesota,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Tom Emmer,2
614,emmer,Minnesota,2019,112,['Committee On Financial Services'],Tom Emmer,1
615,emmer,Minnesota,2021,109,['Committee On Financial Services'],Tom Emmer,1
616,engel,New York,2013,427,"['Committee On Energy And Commerce', 'Committee On Foreign Affairs']",Eliot L. Engel,2
617,engel,New York,2015,416,"['Committee On Energy And Commerce', 'Committee On Foreign Affairs']",Eliot L. Engel,2
618,engel,New York,2017,351,"['Committee On Energy And Commerce', 'Committee On Foreign Affairs']",Eliot L. Engel,2
619,engel,New York,2019,208,"['Committee On Energy And Commerce', 'Committee On Foreign Affairs']",Eliot L. Engel,2
620,enyart,Illinois,2013,87,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Readiness', 'Committee On Tactical Air And Land Forces']",William L. Enyart,4
621,epidemiology,Pennsylvania,2019,1,"['Committee On Science, Space, And Technology']",Of Epidemiology,1
622,escobar,Texas,2019,187,"['Committee On Armed Services', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On Immigration And Citizenship', 'Committee On Judiciary', 'Committee On Military Personnel', 'Committee On Readiness', 'Committee On The Consititution, Civil Rights,', 'Committee On The Constitution, Civil Rights,', 'Committee On The Constitution, Civil Rights, And Civil Liberties', 'Committee On The Judiciary']",Veronica Escobar,10
623,escobar,Texas,2021,140,"['Committee On Armed Services', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Immigration And Citizenship', 'Committee On Military Personnel', 'Committee On The Climate Crisis', 'Committee On The Climate Crisis', 'Committee On The Judiciary']",Veronica Escobar,8
624,eshoo,California,2013,186,['Committee On Energy And Commerce'],Anna G. Eshoo,1
625,eshoo,California,2015,177,['Committee On Energy And Commerce'],Anna G. Eshoo,1
626,eshoo,California,2017,175,['Committee On Energy And Commerce'],Anna G. Eshoo,1
627,eshoo,California,2019,92,['Committee On Energy And Commerce'],Anna G. Eshoo,1
628,eshoo,California,2021,31,['Committee On Energy And Commerce'],Anna G. Eshoo,1
629,espaillat,New York,2017,319,"['Committee On Education And The Workforce', 'Committee On Foreign Affairs', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Development', 'Committee On Small Business']",Adriano Espaillat,5
630,espaillat,New York,2019,281,"['Committee On Foreign Affairs', 'Committee On Oversight And Investigations', 'Committee On Small Business', 'Committee On Transportation And Infrastructure', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Adriano Espaillat,6
631,espaillat,New York,2021,39,"['Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment']",Ariano Espaillat,2
632,estes,Kansas,2017,121,"['Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Development', 'Committee On Homeland Security', 'Committee On Oversight And Management Efficiency', 'Committee On Small Business', 'Committee On Transportation And Protective Security']",Ron Estes,7
633,estes,Kansas,2019,12,"['Committee On Social Security', 'Committee On Ways And Means', 'Committee On Worker And Family Support']",Ron Estes,3
634,esty,Connecticut,2013,178,"['Committee On Research And Technology', 'Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Elizabeth Esty,3
635,esty,Connecticut,2015,142,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Elizabeth H. Esty,2
636,esty,Connecticut,2017,229,"['Committee On Disability Assistance And Memorial Affairs', 'Committee On Research And Technology', 'Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure', ""Committee On Veterans' Affairs""]",Elizabeth Esty,5
637,evans,Pennsylvania,2017,103,"['Committee On Agriculture', 'Committee On Small Business']",Dwight Evans,2
638,evans,Pennsylvania,2019,106,"['Committee On Small Business', 'Committee On Ways And Means', 'Committee On Worker And Family Support']",Dwight Evans,3
639,evans,Pennsylvania,2021,68,"['Committee On Small Business', 'Committee On Small Business']",Dwight Evans,2
640,example,North Carolina,2019,1,['Committee On Oversight And Reform'],For Example,1
641,fact,Georgia,2021,1,['Committee On Oversight And Reform'],Racial Lens Of Today'S Hearing. In Fact,1
642,fact,New York,2021,1,"['Committee On Science, Space, And Technology']",Development Of Semiconductor Technology. In Fact,1
643,fact,Texas,2021,1,['Committee On Oversight And Reform'],In Fact,1
644,fairfax,Vermont,2021,1,['Committee On Oversight And Reform'],Business With 75 Employees In Fairfax,1
645,fairfax,Virginia,2019,1,['Committee On Oversight And Reform'],Scholar At Nyu From Fairfax,1
646,fallon,Texas,2021,127,"['Committee On Armed Services', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Military Personnel', 'Committee On Oversight And Reform']",Pat Fallon,4
647,farenthold,Texas,2013,366,"['Committee On Oversight And Government Reform', 'Committee On The Judiciary', 'Committee On Transportation And Infrastructure']",Blake Farenthold,3
648,farenthold,Texas,2015,323,"['Committee On Information Technology', 'Committee On Oversight And Government Reform', 'Committee On The Judiciary', 'Committee On Transportation And Infrastructure']",Blake Farenthold,4
649,farenthold,Texas,2017,115,"['Committee On Courts, Intellectual Property, And The Internet', 'Committee On Information Technology', 'Committee On Oversight And Government Reform', 'Committee On The Judiciary', 'Committee On Transportation And Infrastructure']",Blake Farenthold,5
650,faso,New York,2017,84,"['Committee On Agriculture', 'Committee On The Budget', 'Committee On Transportation And Infrastructure']",John J. Faso,3
651,fazio,Oregon,2019,1,['Committee On Transportation And Infrastructure'],Peter A. Fazio,1
652,feenstra,Iowa,2021,109,"['Committee On Agriculture', 'Committee On Science, Space, And Technology', 'Committee On The Budget']",Randy Feenstra,3
653,ferguson,Georgia,2017,70,"['Committee On The Budget', 'Committee On Transportation And Infrastructure']",A. Drew Ferguson Iv,2
654,ferguson,Georgia,2019,12,"['Committee On Select Revenue Measures', 'Committee On Social Security', 'Committee On Ways And Means']",Drew Ferguson,3
655,fernandez,New Mexico,2021,69,"['Committee On Civil Rights And Human Services', 'Committee On Education And Labor', 'Committee On Elections', 'Committee On Higher Education And Workforce Investment', 'Committee On House Administration', 'Committee On House Administration']",Teresa Leger Fernandez,6
656,fincher,Tennessee,2013,123,"['Committee On Agriculture', 'Committee On Financial Services']",Stephen Lee Fincher,2
657,fincher,Tennessee,2015,112,['Committee On Financial Services'],Stephen Lee Fincher,1
658,finkenauer,Iowa,2019,162,"['Committee On Small Business', 'Committee On Transportation And Infrastructure']",Abby Finkenauer,2
659,finstad,Minnesota,2021,1,['Committee On Agriculture'],Brad Finstad,1
660,first,Texas,2021,1,['Committee On Oversight And Reform'],Endure Multiple Harmful Restrictions. First,1
661,fischbach,Michigan,2021,11,"['Committee On Courts, Intellectual Property, And']",Michelle Fischbach,1
662,fischbach,Minnesota,2021,154,"['Committee On Agriculture', 'Committee On Antitrust, Commercial,', 'Committee On Rules', 'Committee On The Constitution, Civil Rights,', 'Committee On The Judiciary']",Michelle Fischbach,5
663,fitzgerald,Wisconsin,2021,222,"['Committee On Antitrust, Commercial,', 'Committee On Civil Rights And Human Services', 'Committee On Courts, Intellectual Property, And', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Small Business', 'Committee On Small Business', 'Committee On The Judiciary']",Scott Fitzgerald,9
664,fitzpatrick,Pennsylvania,2013,100,['Committee On Financial Services'],Michael G. Fitzpatrick,1
665,fitzpatrick,Pennsylvania,2015,123,['Committee On Financial Services'],Michael G. Fitzpatrick,1
666,fitzpatrick,Pennsylvania,2017,373,"['Committee On Cybersecurity And Infrastructure Protection', 'Committee On Foreign Affairs', 'Committee On Homeland Security', 'Committee On Small Business', 'Committee On Transportation And Protective Security']",Brian K. Fitzpatrick,5
667,fitzpatrick,Pennsylvania,2019,176,"['Committee On Foreign Affairs', 'Committee On The Middle East, North Africa, And International', 'Committee On Transportation And Infrastructure']",Brian Fitzpatrick,3
668,fitzpatrick,Pennsylvania,2021,108,"['Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",Brian K. Fitzpatrick,3
669,fleming,Louisiana,2013,67,"['Committee On Armed Services', 'Committee On Strategic Forces', 'Committee On Tactical Air And Land Forces']",John Fleming,3
670,fleming,Louisiana,2015,70,"['Committee On Armed Services', 'Committee On Strategic Forces', 'Committee On Tactical Air And Land Forces']",John Fleming,3
671,fletcher,Texas,2019,148,"['Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Lizzie Fletcher,2
672,fletcher,Texas,2021,87,"['Committee On Energy And Commerce', 'Committee On Science, Space, And Technology']",Lizzie Fletcher,2
673,flint,Michigan,2019,3,"['Committee On Science, Space, And Technology', 'Committee On Science, Space, And Technology']",['Vital Information To Help Flint' 'What Was Happening In Flint'],2
674,flood,Nebraska,2021,26,"['Committee On Oversight And Reform', 'Committee On Small Business']",Mike Flood,2
675,flores,Texas,2013,115,"['Committee On Economic Opportunity', 'Committee On Economic Opportunity (Eo)', 'Committee On The Budget', ""Committee On Veterans' Affairs""]",Bill Flores,4
676,flores,Texas,2015,178,['Committee On Energy And Commerce'],Bill Flores,1
677,flores,Texas,2017,207,"['Committee On Economic Opportunity', 'Committee On Energy And Commerce', 'Committee On Health', ""Committee On Veterans' Affairs""]",Bill Flores,4
678,flores,Texas,2019,121,"['Committee On Energy And Commerce', 'Committee On The Budget']",Bill Flores,2
679,flores,Texas,2021,17,"['Committee On Agriculture', 'Committee On Border Security, Facilitation, And Operations', 'Committee On Homeland Security', 'Committee On Transportation And Maritime Security']",Mayra Flores,4
680,forbes,Virginia,2013,194,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Seapower And Projection Forces', 'Committee On The Judiciary']",J. Randy Forbes,4
681,forbes,Virginia,2015,174,"['Committee On Armed Services', 'Committee On Seapower And Projection Forces', 'Committee On Strategic Forces', 'Committee On The Judiciary']",J. Randy Forbes,4
682,foster,Illinois,2013,100,['Committee On Financial Services'],Bill Foster,1
683,foster,Illinois,2015,215,"['Committee On Financial Services', 'Committee On Science, Space, And Technology']",Bill Foster,2
684,foster,Illinois,2017,196,"['Committee On Financial Services', 'Committee On Financial Services', 'Committee On Science, Space, And Technology']",Bill Foster,3
685,foster,Illinois,2019,193,"['Committee On Financial Services', 'Committee On Science, Space, And Technology']",Bill Foster,2
686,foster,Illinois,2021,164,"['Committee On Financial Services', 'Committee On Science, Space, And Technology']",Bill Foster,2
687,foxx,North Carolina,2013,92,"['Committee On Early Childhood,', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Early Childhood,Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Higher Education And Workforce Training']",Virginia Foxx,5
688,foxx,North Carolina,2015,67,"['Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Training', 'Committee On Rules']",Virginia Foxx,4
689,foxx,North Carolina,2017,39,"['Committee On Education And The Workforce', 'Committee On Oversight And Government Reform']",Virginia Foxx,2
690,foxx,North Carolina,2019,189,"['Committee On Education And Labor', 'Committee On Oversight And Reform']",Virginia Foxx,2
691,foxx,North Carolina,2021,157,"['Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Investment', 'Committee On Oversight And Reform', 'Committee On Civil Rights And Human Services', 'Committee On Higher Education And Workforce Investment', 'Committee On Workforce Protections']",Virginia Foxx,8
692,frankel,Florida,2013,323,"['Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure']",Lois Frankel,2
693,frankel,Florida,2015,288,"['Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure']",Lois Frankel,2
694,frankel,Florida,2017,232,"['Committee On Foreign Affairs', 'Committee On Transportation And Infrastructure']",Lois Frankel,2
695,franklin,Florida,2021,127,"['Committee On Armed Services', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Intelligence And Special Operations', 'Committee On Oversight And Reform']",C. Scott Franklin,4
696,franks,Arizona,2013,192,"['Committee On Armed Services', 'Committee On Intelligence, Emerging Threats And Capabilities', 'Committee On Strategic Forces', 'Committee On The Judiciary']",Trent Franks,4
697,franks,Arizona,2015,169,"['Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Strategic Forces', 'Committee On The Judiciary']",Trent Franks,4
698,franks,Arizona,2017,73,"['Committee On Armed Services', 'Committee On Courts, Intellectual Property, And The Internet', 'Committee On Emerging Threats And Capabilities', 'Committee On Strategic Forces', 'Committee On The Judiciary']",Trent Franks,5
699,fudge,Ohio,2013,116,"['Committee On Agriculture', 'Committee On Early Childhood,', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Early Childhood,Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Workforce Protections']",Marcia L. Fudge,6
700,fudge,Ohio,2015,131,"['Committee On Agriculture', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Workforce Protections']",Marcia L. Fudge,4
701,fudge,Ohio,2017,66,"['Committee On Agriculture', 'Committee On Early Childhood, Elementary, And Secondary Education', 'Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions']",Marcia L. Fudge,4
702,fudge,Ohio,2019,130,"['Committee On Agriculture', 'Committee On Civil Rights And Human Services', 'Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On House Administration', 'Committee On House Adminstration']",Marcia L. Fudge,6
703,fulcher,Idaho,2019,85,"['Committee On Education And Labor', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Higher Education And Workforce Investment', 'Committee On Natural Resources']",Russ Fulcher,4
704,fulcher,Idaho,2021,45,"['Committee On Civil Rights And Human Services', 'Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment']",Russ Fulcher,3
705,gabbard,Hawaii,2013,324,"['Committee On Armed Services', 'Committee On Border And Maritime Security', 'Committee On Foreign Affairs', 'Committee On Homeland Security', 'Committee On Oversight And Investigations', 'Committee On Homeland Security']",Tulsi Gabbard,6
706,gabbard,Hawaii,2015,311,"['Committee On Armed Services', 'Committee On Foreign Affairs', 'Committee On Readiness', 'Committee On Seapower And Projection Forces']",Tulsi Gabbard,4
707,gabbard,Hawaii,2017,242,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Foreign Affairs', 'Committee On Readiness']",Tulsi Gabbard,5
708,gabbard,Hawaii,2019,160,"['Committee On Armed Services', 'Committee On Financial Services', 'Committee On Intelligence And Emerging Threats And Capabilities', 'Committee On Readiness']",Tulsi Gabbard,4
709,gaetz,Florida,2017,137,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Courts, Intellectual Property, And The Internet', 'Committee On Oversight And Investigations', 'Committee On Tactical Air And Land Forces', 'Committee On The Budget', 'Committee On The Judiciary']",Matt Gaetz,7
710,gaetz,Florida,2019,171,"['Committee On Antitrust, Commercial', 'Committee On Antitrust, Commercial And', 'Committee On Antitrust, Commercial And', 'Committee On Antitrust, Commercial And Administrative Law', 'Committee On Armed Services', 'Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property,', 'Committee On Courts, Intellectual Property, And', 'Committee On Courts, Intellectual Property, And The Internet', 'Committee On Judiciary', 'Committee On Military Personnel', 'Committee On Tactical Air And Land Forces', 'Committee On The Judiciary']",Matt Gaetz,13
711,gaetz,Florida,2021,125,"['Committee On Antitrust, Commercial,', 'Committee On Armed Services', 'Committee On Courts, Intellectual Property, And', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Tactical Air And Land Forces', 'Committee On The Judiciary']",Matt Gaetz,6
712,gallagher,Wisconsin,2017,177,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Counterterrorism And Intelligence', 'Committee On Cybersecurity And Infrastructure Protection', 'Committee On Homeland Security', 'Committee On Readiness', 'Committee On Seapower And Projection Forces', 'Committee On Transportation And Infrastructure']",Mike Gallagher,8
713,gallagher,Wisconsin,2019,116,"['Committee On Armed Services', 'Committee On Intelligence And Emerging Threats And Capabilities', 'Committee On Seapower And Projection Forces', 'Committee On Transportation And Infrastructure']",Mike Gallagher,4
714,gallagher,Wisconsin,2021,81,"['Committee On Armed Services', 'Committee On Cyber, Innovative Technologies, And Information Systems', 'Committee On Military Personnel', 'Committee On Seapower And Projection Forces', 'Committee On Transportation And Infrastructure']",Mike Gallagher,5
715,gallego,Arizona,2015,61,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Tactical Air And Land Forces']",Ruben Gallego,3
716,gallego,Arizona,2017,60,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Military Personnel', 'Committee On Tactical Air And Land Forces']",Ruben Gallego,4
717,gallego,Arizona,2019,51,"['Committee On Armed Services', 'Committee On Military Personnel', 'Committee On Tactical Air And Land Forces', 'Committee On Natural Resources']",Ruben Gallego,4
718,gallego,Arizona,2021,25,"['Committee On Armed Services', 'Committee On Intelligence And Special Operations', 'Committee On Tactical Air And Land Forces']",Ruben Gallego,3
719,gallego,Texas,2013,87,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Readiness', 'Committee On Tactical Air And Land Forces']",Pete P. Gallego,4
720,garamendi,California,2013,172,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Strategic Forces', 'Committee On Tactical Air And Land Forces', 'Committee On Transportation And Infrastructure']",John Garamendi,5
721,garamendi,California,2015,125,"['Committee On Armed Services', 'Committee On Emerging Threats And Capabilities', 'Committee On Strategic Forces', 'Committee On Transportation And Infrastructure']",John Garamendi,4
722,garamendi,California,2017,113,"['Committee On Armed Services', 'Committee On Armed Services', 'Committee On Seapower And Projection Forces', 'Committee On Strategic Forces', 'Committee On Transportation And Infrastructure']",John Garamendi,5
723,garamendi,California,2019,115,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Strategic Forces', 'Committee On Transportation And Infrastructure']",John Garamendi,4
724,garamendi,California,2021,87,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Strategic Forces', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",John Garamendi,7
725,garbarino,New York,2021,162,"['Committee On Cybersecurity, Infrastructure Protection, And', 'Committee On Emergency Preparedness, Response, And Recovery', 'Committee On Homeland Security', 'Committee On Small Business', 'Committee On Small Business']",Andrew R. Garbarino,5
726,garcia,California,2019,20,"['Committee On Homeland Security', 'Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure']",Mike Garcia,3
727,garcia,California,2021,56,"['Committee On Science, Space, And Technology']",Mike Garcia,1
728,garcia,Florida,2013,123,['Committee On The Judiciary'],Joe Garcia,1
729,garcia,Illinois,2019,171,"['Committee On Financial Services', 'Committee On Transportation And Infrastructure']",Jesus ``Chuy'' Garcia,2
730,garcia,Illinois,2021,159,"['Committee On Financial Services', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Infrastructure']",Jesus G. ``Chuy'' Garcia,4
731,garcia,Texas,2019,241,"['Committee On Financial Services', 'Committee On Immigration And Citizenship', 'Committee On Judiciary', 'Committee On The Consititution, Civil Rights,', 'Committee On The Constitution, Civil Rights,', 'Committee On The Constitution, Civil Rights, And Civil Liberties', 'Committee On The Judiciary', 'Committee On The Judiciary', 'Committee On The Judiciary']",Sylvia R. Garcia,9
732,garcia,Texas,2021,213,"['Committee On Financial Services', 'Committee On Immigration And Citizenship', 'Committee On Seapower And Projection Forces', 'Committee On The Constitution, Civil Rights,', 'Committee On The Judiciary']",Sylvia R. Garcia,5
733,gardner,Colorado,2013,186,['Committee On Energy And Commerce'],Cory Gardner,1
734,garrett,New Jersey,2013,109,"['Committee On Financial Services', 'Committee On The Budget']",Scott Garrett,2
735,garrett,New Jersey,2015,114,"['Committee On Financial Services', 'Committee On The Budget']",Scott Garrett,2
736,georgia,Georgia,2021,1,['Committee On Oversight And Reform'],As My District In North Georgia,1
737,georgia,Texas,2019,1,['Committee On Oversight And Reform'],Georgia,1
738,gerlach,Pennsylvania,2013,88,"['Committee On Health', 'Committee On Select Revenue Measures', 'Committee On Trade', 'Committee On Ways And Means']",Jim Gerlach,4
739,gianforte,Montana,2017,4,"['Committee On Information Technology', 'Committee On Oversight And Government Reform']",Greg Gianforte,2
740,gianforte,Montana,2019,92,['Committee On Energy And Commerce'],Greg Gianforte,1
741,gibbs,Ohio,2013,105,"['Committee On Agriculture', 'Committee On Transportation And Infrastructure']",Bob Gibbs,2
742,gibbs,Ohio,2015,112,"['Committee On Agriculture', 'Committee On Transportation And Infrastructure']",Bob Gibbs,2
743,gibbs,Ohio,2017,70,"['Committee On Agriculture', 'Committee On Transportation And Infrastructure']",Bob Gibbs,2
744,gibbs,Ohio,2019,193,"['Committee On Oversight And Reform', 'Committee On Transportation And Infrastructure']",Bob Gibbs,2
745,gibbs,Ohio,2021,154,"['Committee On Oversight And Reform', 'Committee On Transportation And Infrastructure']",Bob Gibbs,2
746,gibson,New York,2013,102,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Intelligence, Emerging Threats And Capabilities', 'Committee On Military Personnel', 'Committee On Tactical Air And Land Forces']",Christopher P. Gibson,5
747,gibson,New York,2015,194,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Readiness', 'Committee On Small Business', 'Committee On Tactical Air And Land Forces']",Christopher P. Gibson,5
748,gimenez,Florida,2021,192,"['Committee On Homeland Security', 'Committee On Science, Space, And Technology', 'Committee On Transportation And Infrastructure', 'Committee On Transportation And Maritime Security']",Carlos A. Gimenez,4
749,gingrey,Georgia,2013,186,['Committee On Energy And Commerce'],Phil Gingrey,1
750,glynco,Georgia,2019,1,['Committee On Oversight And Reform'],Glynco,1
751,gohmert,Texas,2013,133,['Committee On The Judiciary'],Louie Gohmert,1
752,gohmert,Texas,2015,100,['Committee On The Judiciary'],Louie Gohmert,1
753,gohmert,Texas,2017,66,['Committee On The Judiciary'],Louie Gohmert,1
754,gohmert,Texas,2019,129,"['Committee On Crime, Terrorism, And Homeland Security', 'Committee On Judiciary', 'Committee On The Consititution, Civil Rights,', 'Committee On The Constitution, Civil Rights,', 'Committee On The Constitution, Civil Rights, And Civil Liberties', 'Committee On The Judiciary']",Louie Gohmert,6
755,gohmert,Texas,2021,101,"['Committee On Courts, Intellectual Property, And', 'Committee On Crime, Terrorism, And Homeland Security', 'Committee On The Judiciary']",Louie Gohmert,3
756,golden,Colorado,2021,1,"['Committee On Science, Space, And Technology']",Golden,1
757,golden,Maine,2019,138,"['Committee On Armed Services', 'Committee On Seapower And Projection Forces', 'Committee On Small Business', 'Committee On Tactical Air And Land Forces']",Jared F. Golden,4
758,golden,Maine,2021,100,"['Committee On Armed Services', 'Committee On Readiness', 'Committee On Seapower And Projection Forces', 'Committee On Small Business', 'Committee On Small Business']",Jared F. Golden,5
759,gomez,California,2019,137,"['Committee On Oversight And Reform', 'Committee On Ways And Means', 'Committee On Worker And Family Support']",Jimmy Gomez,3
760,gomez,California,2021,100,['Committee On Oversight And Reform'],Jimmy Gomez,1
761,gomez,Maryland,2017,2,['Committee On Oversight And Government Reform'],Jimmy Gomez,1
762,gonzalez,Ohio,2019,193,"['Committee On Financial Services', 'Committee On Science, Space, And Technology']",Anthony Gonzalez,2
763,gonzalez,Ohio,2021,179,"['Committee On Financial Services', 'Committee On Science, Space, And Technology', 'Committee On The Climate Crisis', 'Committee On The Climate Crisis']",Anthony Gonzalez,4
764,gonzalez,Texas,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Vicente Gonzalez,2
765,gonzalez,Texas,2019,221,"['Committee On Financial Services', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Vicente Gonzalez,3
766,gonzalez,Texas,2021,158,"['Committee On Financial Services', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs', 'Committee On Foreign Affairs']",Vicente Gonzalez,4
767,gonzalez-colon,Puerto Rico,2017,89,['Committee On Small Business'],Jenniffer Gonzalez-Colon,1
768,gonzalez-colon,Puerto Rico,2019,66,['Committee On Transportation And Infrastructure'],Jenniffer Gonzalez-Colon,1
769,gonzalez-colon,Puerto Rico,2021,54,['Committee On Transportation And Infrastructure'],Jenniffer Gonzalez-Colon,1
770,good,Virginia,2021,57,"['Committee On Education And Labor', 'Committee On Higher Education And Workforce Investment', 'Committee On The Budget', 'Committee On Workforce Protections']",Bob Good,4
771,gooden,Texas,2019,105,['Committee On Financial Services'],Lance Gooden,1
772,gooden,Texas,2021,104,['Committee On Financial Services'],Lance Gooden,1
773,goodlatte,Virginia,2013,146,"['Committee On Agriculture', 'Committee On The Judiciary']",Bob Goodlatte,2
774,goodlatte,Virginia,2015,156,"['Committee On Agriculture', 'Committee On The Judiciary']",Bob Goodlatte,2
775,goodlatte,Virginia,2017,80,"['Committee On Agriculture', 'Committee On The Judiciary']",Bob Goodlatte,2
776,gosar,Arizona,2013,161,['Committee On Oversight And Government Reform'],Paul A. Gosar,1
777,gosar,Arizona,2015,181,"['Committee On Information Technology', 'Committee On Oversight And Government Reform']",Paul A. Gosar,2
778,gosar,Arizona,2017,4,['Committee On Oversight And Government Reform'],['Paul A. Gosar' 'Paul Gosar'],1
779,gosar,Arizona,2019,127,['Committee On Oversight And Reform'],Paul A. Gosar,1
780,gosar,Arizona,2021,51,['Committee On Oversight And Reform'],Paul A. Gosar,1
781,gottheimer,New Jersey,2017,120,"['Committee On Financial Services', 'Committee On Financial Services']",Josh Gottheimer,2
782,gottheimer,New Jersey,2019,112,['Committee On Financial Services'],Josh Gottheimer,1
783,gottheimer,New Jersey,2021,200,"['Committee On Financial Services', 'Committee On Homeland Security', 'Committee On Intelligence And Counterterrorism', 'Committee On Transportation And Maritime Security']",Josh Gottheimer,4
784,gowdy,South Carolina,2013,357,"['Committee On Education And The Workforce', 'Committee On Health, Employment, Labor, And Pensions', 'Committee On Oversight And Government Reform', 'Committee On The Events Surrounding The 2012 Terrorist', 'Committee On The Judiciary']",Trey Gowdy,5
785,gowdy,South Carolina,2015,277,"['Committee On Oversight And Government Reform', 'Committee On The Judiciary']",Trey Gowdy,2
786,gowdy,South Carolina,2017,70,"['Committee On Oversight And Government Reform', 'Committee On The Judiciary']",Trey Gowdy,2
787,graham,Florida,2015,143,"['Committee On Agriculture', 'Committee On Armed Services', 'Committee On Oversight And Investigations', 'Committee On Seapower And Projection Forces', 'Committee On Tactical Air And Land Forces']",Gwen Graham,5
788,granger,Indiana,2019,1,['Committee On Oversight And Reform'],Name Is Pamela Holt. I'M From Granger,1
789,graves,Louisiana,2015,49,['Committee On Transportation And Infrastructure'],Garret Graves,1
790,graves,Louisiana,2017,56,['Committee On Transportation And Infrastructure'],Garret Graves,1
791,graves,Louisiana,2019,83,"['Committee On The Climate Crisis', 'Committee On Transportation And Infrastructure']",Garret Graves,2
